InstructorID,FirstName,LastName,Email,Department
1,Mike,Walker,jane979@university.edu,Physics
2,Jane,Lee,mike878@university.edu,Physics
3,Mike,Taylor,mike862@college.edu,Biology
4,John,Young,mike614@university.edu,Biology
5,John,Hall,john415@college.edu,Math
6,Tom,Young,jane698@college.edu,CS
7,John,Walker,john324@college.edu,Math
8,Mike,Hall,john212@university.edu,Physics
9,Sara,Hall,john332@university.edu,Biology
10,Sara,Taylor,john890@college.edu,Math
11,Tom,Walker,john182@university.edu,Math
12,Anna,Lee,jane274@university.edu,Biology
13,Mike,Taylor,mike146@college.edu,Biology
14,Mike,Taylor,john355@university.edu,Biology
15,John,Young,john129@university.edu,Physics
16,Mike,Young,jane336@college.edu,Biology
17,Jane,Young,jane467@university.edu,CS
18,Anna,Taylor,mike124@college.edu,Math
19,John,Lee,jane817@college.edu,Biology
20,Jane,Hall,mike593@college.edu,Biology
21,Tom,Young,john705@university.edu,Physics
22,Sara,Lee,john738@university.edu,Physics
23,Tom,Walker,mike124@college.edu,Math
24,Sara,Young,jane454@college.edu,CS
25,Tom,Hall,mike147@college.edu,Math
26,Mike,Walker,jane877@university.edu,Biology
27,Jane,Walker,john558@university.edu,CS
28,Sara,Hall,jane696@university.edu,CS
29,John,Young,mike313@university.edu,CS
30,Jane,Taylor,mike602@university.edu,CS
31,John,Hall,john547@college.edu,Math
32,Jane,Hall,jane675@college.edu,Physics
33,Jane,Hall,jane943@university.edu,Physics
34,Tom,Walker,jane909@college.edu,Biology
35,Sara,Lee,john153@university.edu,Physics
36,Sara,Taylor,jane430@college.edu,Physics
37,Jane,Young,mike340@university.edu,Physics
38,Mike,Young,jane629@university.edu,Physics
39,Mike,Lee,john286@college.edu,Biology
40,John,Hall,jane755@college.edu,Math
41,John,Taylor,jane463@university.edu,CS
42,Tom,Young,mike530@university.edu,Physics
43,Jane,Young,jane403@college.edu,Math
44,John,Hall,mike175@college.edu,Physics
45,John,Lee,mike432@college.edu,Physics
46,Anna,Taylor,john857@college.edu,CS
47,Jane,Lee,mike573@university.edu,CS
48,Tom,Lee,mike382@university.edu,CS
49,John,Taylor,john171@university.edu,Physics
50,Tom,Taylor,mike802@university.edu,Physics
51,Sara,Young,john986@college.edu,Physics
52,Tom,Young,jane674@college.edu,CS
53,Mike,Taylor,john991@college.edu,Biology
54,Mike,Walker,mike240@college.edu,Math
55,Tom,Young,john654@university.edu,Biology
56,Mike,Walker,mike162@university.edu,Physics
57,Sara,Taylor,jane564@college.edu,Physics
58,Jane,Young,john903@university.edu,Biology
59,Mike,Lee,jane619@university.edu,Physics
60,Mike,Taylor,mike189@college.edu,Math
61,Tom,Hall,mike903@college.edu,Physics
62,Sara,Walker,jane729@university.edu,Math
63,Jane,Taylor,john274@college.edu,Biology
64,Tom,Taylor,john712@college.edu,Biology
65,Tom,Young,mike762@college.edu,Physics
66,Anna,Young,jane881@college.edu,Math
67,Sara,Young,jane170@university.edu,Physics
68,Jane,Hall,john279@college.edu,CS
69,Sara,Young,john480@university.edu,CS
70,Jane,Taylor,john896@university.edu,CS
71,Sara,Young,jane327@university.edu,CS
72,Tom,Lee,john535@university.edu,Physics
73,Tom,Young,john560@college.edu,CS
74,John,Hall,mike120@college.edu,Math
75,Mike,Lee,john264@university.edu,Biology
76,Anna,Taylor,john410@college.edu,Biology
77,Sara,Taylor,jane384@college.edu,CS
78,Anna,Walker,jane380@college.edu,CS
79,John,Lee,mike930@college.edu,CS
80,Mike,Walker,john997@college.edu,Physics
81,Sara,Lee,mike323@college.edu,Biology
82,Jane,Lee,jane245@university.edu,CS
83,Mike,Hall,mike967@college.edu,Math
84,Tom,Walker,jane144@university.edu,CS
85,John,Hall,mike570@college.edu,Biology
86,Mike,Lee,mike752@university.edu,CS
87,Mike,Taylor,john929@college.edu,Biology
88,Tom,Lee,mike320@college.edu,CS
89,Sara,Hall,john633@college.edu,Math
90,Jane,Walker,john466@college.edu,CS
91,Tom,Walker,john940@university.edu,Math
92,Jane,Hall,john649@college.edu,Math
93,Sara,Walker,mike215@university.edu,CS
94,Mike,Young,jane434@university.edu,Math
95,Jane,Taylor,jane247@university.edu,Physics
96,John,Taylor,jane387@college.edu,CS
97,John,Taylor,mike149@college.edu,CS
98,Tom,Walker,john616@college.edu,Math
99,Sara,Walker,jane954@college.edu,Math
100,Tom,Lee,mike686@university.edu,CS
101,Tom,Lee,john377@college.edu,Physics
102,Anna,Taylor,jane935@university.edu,Math
103,Tom,Young,john399@college.edu,Math
104,Anna,Lee,jane688@college.edu,Biology
105,John,Lee,jane748@college.edu,Physics
106,John,Walker,jane706@university.edu,Physics
107,Tom,Young,john679@university.edu,CS
108,John,Taylor,mike589@college.edu,Physics
109,Sara,Lee,john258@college.edu,CS
110,Anna,Young,jane262@university.edu,Biology
111,Anna,Young,john952@university.edu,Physics
112,Tom,Taylor,mike514@university.edu,Math
113,John,Young,john706@university.edu,Biology
114,Jane,Young,mike387@college.edu,CS
115,Anna,Young,mike286@college.edu,Biology
116,Tom,Lee,john237@college.edu,CS
117,Tom,Taylor,jane293@college.edu,Biology
118,Sara,Young,mike884@college.edu,CS
119,Mike,Young,john243@college.edu,Physics
120,Mike,Lee,mike401@university.edu,Math
121,Anna,Taylor,jane344@university.edu,CS
122,Sara,Walker,john206@college.edu,Biology
123,Sara,Lee,john228@university.edu,CS
124,Sara,Taylor,john986@university.edu,CS
125,Anna,Young,jane103@university.edu,CS
126,Mike,Taylor,mike509@university.edu,Biology
127,Sara,Taylor,john405@college.edu,Math
128,John,Taylor,mike706@university.edu,Physics
129,Tom,Walker,mike324@university.edu,Math
130,Tom,Taylor,jane447@college.edu,CS
131,Jane,Walker,john420@university.edu,Biology
132,Jane,Young,mike280@college.edu,Math
133,Anna,Walker,john810@college.edu,CS
134,Anna,Young,john717@college.edu,Physics
135,Tom,Young,jane871@college.edu,Physics
136,John,Walker,john630@college.edu,Physics
137,Mike,Lee,john395@college.edu,CS
138,Mike,Hall,mike270@university.edu,Biology
139,Anna,Taylor,jane592@university.edu,Math
140,John,Hall,john111@university.edu,Physics
141,Anna,Taylor,mike589@university.edu,CS
142,Mike,Taylor,jane980@college.edu,CS
143,Anna,Young,jane916@college.edu,Math
144,Sara,Taylor,mike997@college.edu,Physics
145,Anna,Taylor,mike793@college.edu,CS
146,Tom,Walker,mike695@college.edu,Math
147,Anna,Hall,mike895@university.edu,Biology
148,Tom,Walker,mike195@university.edu,Biology
149,John,Taylor,john877@college.edu,Biology
150,Mike,Young,john397@college.edu,Physics
151,Jane,Walker,jane836@university.edu,Math
152,Jane,Walker,john460@college.edu,Math
153,Mike,Lee,john653@university.edu,CS
154,Jane,Taylor,john520@college.edu,CS
155,Anna,Young,mike819@university.edu,CS
156,John,Walker,jane633@university.edu,Math
157,John,Walker,jane567@college.edu,CS
158,Mike,Young,jane462@university.edu,Math
159,Jane,Taylor,jane652@college.edu,Math
160,Anna,Lee,john261@college.edu,Biology
161,John,Walker,john573@university.edu,CS
162,John,Lee,mike421@college.edu,Biology
163,Sara,Hall,jane523@university.edu,Physics
164,Sara,Taylor,john687@college.edu,Physics
165,John,Hall,john300@college.edu,Physics
166,Mike,Hall,mike963@university.edu,Math
167,Tom,Hall,mike837@college.edu,Math
