StudentID,FirstName,LastName,Email,Phone,Major,Year
1,George,Jones,charlie363@college.edu,234-567-8901,Math,Year 2
2,Diana,Jones,diana902@college.edu,345-678-9012,CS,Year 4
3,Edward,Smith,alice187@college.edu,123-456-7890,Math,Year 3
4,George,Williams,charlie387@college.edu,345-678-9012,CS,Year 2
5,Charlie,Johnson,alice913@university.edu,234-567-8901,,Year 3
6,Hannah,Smith,diana551@college.edu,345-678-9012,CS,Year 4
7,Edward,Johnson,bob264@college.edu,123-456-7890,Biology,Year 3
8,Edward,Johnson,charlie568@college.edu,,CS,Year 1
9,George,Williams,alice834@university.edu,345-678-9012,,Year 3
10,Bob,Johnson,alice106@college.edu,345-678-9012,Biology,Year 2
11,Charlie,Johnson,charlie874@university.edu,123-456-7890,Physics,Year 3
12,George,Williams,bob250@university.edu,123-456-7890,Physics,Year 3
13,Charlie,Johnson,bob246@college.edu,345-678-9012,CS,Year 1
14,Charlie,Johnson,bob480@university.edu,234-567-8901,CS,Year 3
15,Hannah,Johnson,diana647@university.edu,345-678-9012,,Year 3
16,Edward,Smith,alice799@college.edu,123-456-7890,,Year 4
17,Diana,Smith,alice613@university.edu,,Math,Year 4
18,Hannah,Smith,alice914@university.edu,,,Year 2
19,Hannah,Williams,diana622@college.edu,234-567-8901,Math,Year 4
20,Charlie,Jones,alice485@university.edu,345-678-9012,Biology,Year 4
21,Fiona,Johnson,diana570@university.edu,,CS,Year 4
22,Edward,Johnson,bob495@college.edu,345-678-9012,Biology,Year 4
23,Bob,Williams,charlie360@university.edu,123-456-7890,,Year 1
24,Hannah,Johnson,alice355@college.edu,,Biology,Year 4
25,Diana,Smith,alice325@university.edu,234-567-8901,Biology,Year 1
26,Fiona,Jones,bob966@college.edu,123-456-7890,Biology,Year 1
27,Fiona,Brown,charlie605@college.edu,234-567-8901,,Year 4
28,Bob,Johnson,diana463@college.edu,123-456-7890,Biology,Year 3
29,Hannah,Smith,charlie692@college.edu,,Math,Year 1
30,Diana,Brown,bob257@college.edu,234-567-8901,,Year 3
31,Edward,Jones,bob158@college.edu,234-567-8901,Biology,Year 3
32,Alice,Brown,charlie826@college.edu,123-456-7890,,Year 4
33,Diana,Smith,diana835@university.edu,234-567-8901,Physics,Year 2
34,Bob,Brown,diana981@university.edu,123-456-7890,Math,Year 4
35,Fiona,Williams,alice308@college.edu,123-456-7890,Biology,Year 2
36,Edward,Brown,diana620@college.edu,123-456-7890,Physics,Year 2
37,Diana,Johnson,charlie336@university.edu,123-456-7890,Physics,Year 4
38,Alice,Johnson,bob458@university.edu,,,Year 4
39,Alice,Williams,alice857@college.edu,123-456-7890,Physics,Year 2
40,Charlie,Smith,alice334@college.edu,345-678-9012,Math,Year 4
41,Charlie,Johnson,bob103@college.edu,234-567-8901,Math,Year 2
42,George,Jones,diana541@university.edu,345-678-9012,CS,Year 3
43,Bob,Johnson,bob208@college.edu,,Math,Year 4
44,Hannah,Johnson,diana826@university.edu,345-678-9012,Physics,Year 3
45,Diana,Smith,bob174@college.edu,234-567-8901,Math,Year 1
46,Diana,Brown,charlie245@college.edu,345-678-9012,,Year 3
47,Hannah,Johnson,diana952@college.edu,,CS,Year 3
48,George,Williams,charlie455@university.edu,123-456-7890,Physics,Year 2
49,Fiona,Brown,alice133@university.edu,345-678-9012,CS,Year 3
50,Fiona,Jones,bob776@university.edu,,Physics,Year 4
51,George,Smith,alice477@college.edu,,,Year 2
52,Fiona,Jones,alice698@university.edu,234-567-8901,CS,Year 1
53,Charlie,Brown,alice973@college.edu,234-567-8901,Biology,Year 4
54,Diana,Brown,alice126@university.edu,345-678-9012,Physics,Year 1
55,George,Brown,bob386@college.edu,123-456-7890,Biology,Year 3
56,Diana,Jones,alice830@college.edu,,CS,Year 4
57,Hannah,Brown,bob709@college.edu,345-678-9012,Biology,Year 4
